City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ilula,TZ,-7.6766,36.0366,55.24,94,2,4.23,clear sky
80,Esperance,AU,-33.8667,121.9,54.07,73,0,13.78,clear sky
81,Cochrane,CA,51.1834,-114.4687,51.53,78,100,20.71,overcast clouds
82,Butaritari,KI,3.0707,172.7902,82.26,72,90,13.53,overcast clouds
83,Palmer,US,42.1584,-72.3287,80.2,45,40,12.66,scattered clouds
84,Faanui,PF,-16.4833,-151.75,79.84,74,28,20.83,light rain
85,Danielskuil,ZA,-28.1887,23.5395,38.26,72,3,7.0,clear sky
86,Atuona,PF,-9.8,-139.0333,76.68,80,43,20.2,light rain
87,Nelson Bay,AU,-32.7167,152.15,54.1,89,0,1.01,clear sky
88,Saskylakh,RU,71.9167,114.0833,45.63,51,13,13.02,few clouds
89,Ponta Do Sol,PT,32.6667,-17.1,66.83,73,20,6.46,few clouds
90,Boa Vista,BR,2.8197,-60.6733,80.58,78,20,8.05,few clouds
91,Yulara,AU,-25.2406,130.9889,57.87,54,1,5.7,clear sky
92,Murray Bridge,AU,-35.1167,139.2667,59.13,78,91,14.63,light rain
93,Kavieng,PG,-2.5744,150.7967,83.17,72,72,10.69,broken clouds
94,Camocim,BR,-2.9022,-40.8411,77.0,77,1,13.09,clear sky
95,Shelburne,CA,44.0787,-80.2041,75.36,59,1,5.37,clear sky
96,Bethel,US,41.3712,-73.414,80.69,50,0,10.36,clear sky
97,Ribeira Grande,PT,38.5167,-28.7,64.74,88,100,10.16,overcast clouds
98,Dikson,RU,73.5069,80.5464,33.96,78,43,8.84,scattered clouds
99,Sistranda,NO,63.7256,8.834,49.96,89,99,12.33,overcast clouds
100,Kourou,GF,5.1552,-52.6478,82.11,82,91,5.97,overcast clouds
101,Hithadhoo,MV,-0.6,73.0833,82.47,70,43,4.97,scattered clouds
102,Havelock,US,34.8791,-76.9013,87.75,69,70,3.0,broken clouds
103,Tessalit,ML,20.1986,1.0114,93.47,19,92,6.11,overcast clouds
104,Port Elizabeth,ZA,-33.918,25.5701,58.1,79,40,27.63,light rain
105,Chokurdakh,RU,70.6333,147.9167,71.73,24,14,8.34,few clouds
106,Castro,BR,-24.7911,-50.0119,46.51,95,0,4.9,clear sky
107,Jiazi,CN,22.8779,116.067,78.96,89,100,5.57,heavy intensity rain
108,Sakaiminato,JP,35.55,133.2333,68.23,85,100,9.75,overcast clouds
109,Victoria,HK,22.2855,114.1577,81.18,92,100,5.01,overcast clouds
