City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
285,Ternate,ID,80.51,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
286,Hami,CN,85.53,overcast clouds,42.8,93.45,Laoyutang Resort
295,Poso,ID,77.27,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
297,Vaitape,PF,79.83,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
306,Pembroke,CA,76.05,clear sky,45.8168,-77.1162,Hillside Inn
308,El Jicaro,GT,78.33,overcast clouds,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
309,Itoman,JP,77.38,moderate rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
313,Mecca,SA,87.1,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
319,Abnub,EG,84.15,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
320,Aden,YE,87.49,few clouds,12.7794,45.0367,Sama Emirate Hotel
324,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
329,Tagusao,PH,80.62,overcast clouds,9.1924,117.8141,Green Villa beach resort
330,Thanh Hoa,VN,75.97,light rain,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
333,Samarai,PG,82.11,broken clouds,-10.6167,150.6667,Nuli Sapi
334,Lorengau,PG,83.53,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
337,Cockburn Town,TC,80.53,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
345,Rawah,IQ,81.82,clear sky,34.4816,41.9093,بيت سميع
349,Kavaratti,IN,82.29,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
353,Bambanglipuro,ID,75.76,broken clouds,-7.95,110.2833,Puri Brata
363,Gigmoto,PH,83.16,scattered clouds,13.7796,124.39,Cj's Travellers Inn
366,Naze,JP,77.0,light rain,28.3667,129.4833,Shishime Hotel
370,Tual,ID,82.49,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
